num_senders=24, num_recvers= 4 , send_seed= 1 , recv_seed= 13 , outputs=[2.059617 2.059559 2.059557 2.059616 2.059557 2.059557 2.061140 2.061142 2.061142 2.061142 2.061142 2.061143 2.061013 2.060955 2.061015 2.061015 2.061015 2.061015 2.062504 2.062505 2.062505 2.062502 2.062505 2.062505]
num_senders=24, num_recvers= 6 , send_seed= 1 , recv_seed= 13 , outputs=[3.090360 3.090314 3.090328 3.090360 3.090612 3.090588 3.090584 3.090591 3.090235 3.090218 3.090218 3.090214 3.089858 3.089858 3.089855 3.089862 3.087651 3.087665 3.087655 3.087651 3.092361 3.092318 3.092318 3.092314]
num_senders=24, num_recvers= 8 , send_seed= 1 , recv_seed= 13 , outputs=[4.109733 4.109645 4.109645 4.111861 4.111899 4.111975 4.115524 4.115524 4.115499 4.100292 4.100398 4.100405 4.117304 4.117216 4.117272 4.116755 4.116736 4.116685 4.111836 4.111836 4.111773 4.115619 4.115536 4.115619]
num_senders=24, num_recvers= 12 , send_seed= 1 , recv_seed= 14 , outputs=[6.147471 6.147344 6.105801 6.105843 6.121899 6.122066 6.142927 6.142899 6.108664 6.108539 6.116556 6.116737 6.129377 6.129517 6.121368 6.121242 6.129279 6.129349 6.120614 6.120293 6.147274 6.147302 6.149456 6.149287]
num_senders=24, num_recvers= 24 , send_seed= 1 , recv_seed= 14 , outputs=[12.061317 12.073631 12.082435 12.055088 12.070157 12.106247 12.065491 12.070102 12.055900 12.119146 12.058608 12.167543 12.071025 12.096373 12.094738 12.054438 12.080804 12.059041 12.173999 12.142170 12.059149 12.055629 12.152835 12.171460]
num_senders=24, num_recvers= 4 , send_seed= 1 , recv_seed= 14 , outputs=[2.059669 2.059669 2.059669 2.059668 2.059726 2.059668 2.061392 2.061393 2.061395 2.061393 2.061387 2.061395 2.060971 2.060971 2.060971 2.060956 2.060971 2.060971 2.059375 2.059371 2.059371 2.059412 2.059371 2.059369]
num_senders=24, num_recvers= 6 , send_seed= 1 , recv_seed= 14 , outputs=[3.092492 3.092510 3.092496 3.092500 3.088152 3.088152 3.088081 3.088088 3.088525 3.088504 3.088504 3.088504 3.092717 3.092720 3.092770 3.092628 3.092072 3.092072 3.092076 3.092076 3.085469 3.085607 3.085472 3.085472]
num_senders=24, num_recvers= 8 , send_seed= 1 , recv_seed= 14 , outputs=[4.115051 4.115051 4.114988 4.093146 4.093239 4.093146 4.109023 4.109035 4.109029 4.110640 4.110627 4.110589 4.109790 4.109910 4.109853 4.102065 4.102015 4.102028 4.111288 4.111244 4.111244 4.109173 4.109413 4.109419]
num_senders=24, num_recvers= 12 , send_seed= 1 , recv_seed= 15 , outputs=[6.139077 6.139288 6.118048 6.117643 6.145725 6.145951 6.147203 6.146134 6.107385 6.107038 6.152134 6.152148 6.150217 6.150217 6.109554 6.109734 6.116667 6.117002 6.151443 6.151429 6.123896 6.123812 6.102109 6.101666]
num_senders=24, num_recvers= 24 , send_seed= 1 , recv_seed= 15 , outputs=[12.059420 12.092995 12.057253 12.087059 12.061804 12.061967 12.068909 12.153440 12.100081 12.055683 12.069180 12.069126 12.098445 12.068474 12.053951 12.090271 12.064786 12.056441 12.064135 12.091742 12.131525 12.056712 12.073957 12.103245]
num_senders=24, num_recvers= 4 , send_seed= 1 , recv_seed= 15 , outputs=[2.061631 2.061632 2.061631 2.061631 2.061631 2.061631 2.058838 2.058841 2.058841 2.058898 2.058840 2.058841 2.060409 2.060409 2.060328 2.060411 2.060414 2.060411 2.061691 2.061691 2.061692 2.061688 2.061691 2.061691]
num_senders=24, num_recvers= 6 , send_seed= 1 , recv_seed= 15 , outputs=[3.084713 3.084713 3.084717 3.084713 3.086732 3.086678 3.086664 3.086671 3.088141 3.088141 3.088191 3.088149 3.086040 3.086036 3.086079 3.086040 3.088500 3.088493 3.088536 3.088493 3.091257 3.091143 3.091210 3.091210]
num_senders=24, num_recvers= 8 , send_seed= 1 , recv_seed= 15 , outputs=[4.108972 4.109104 4.109085 4.114212 4.114143 4.114199 4.115871 4.115884 4.115858 4.107048 4.107042 4.107036 4.108614 4.108614 4.108695 4.113361 4.113228 4.113367 4.110388 4.110350 4.110382 4.078116 4.078147 4.078135]
num_senders=24, num_recvers= 12 , send_seed= 1 , recv_seed= 16 , outputs=[6.148992 6.148977 6.152092 6.152064 6.147414 6.147611 6.139021 6.139442 6.047383 6.047260 6.123602 6.123281 6.112642 6.112461 6.136313 6.136425 6.092816 6.092678 6.128034 6.128076 6.113269 6.113282 6.135177 6.135275]
num_senders=24, num_recvers= 24 , send_seed= 1 , recv_seed= 16 , outputs=[12.057253 12.115099 12.092341 11.633425 12.057416 12.111874 12.119748 12.057849 12.059203 12.104610 12.123744 12.071948 12.105538 12.056495 12.056008 12.092886 12.065599 12.072219 12.158780 12.124237 12.132950 11.727347 12.140633 12.159551]
num_senders=24, num_recvers= 4 , send_seed= 1 , recv_seed= 16 , outputs=[2.062453 2.062453 2.062451 2.062451 2.062451 2.062451 2.059442 2.059402 2.059402 2.059402 2.059402 2.059402 2.061854 2.061838 2.061838 2.061781 2.061840 2.061838 2.060827 2.060827 2.060825 2.060822 2.060839 2.060825]
num_senders=24, num_recvers= 6 , send_seed= 1 , recv_seed= 16 , outputs=[3.089222 3.089225 3.089225 3.089264 3.089784 3.089759 3.089816 3.089759 3.091520 3.091410 3.091552 3.091524 3.088777 3.088788 3.088802 3.088817 3.087236 3.087197 3.087200 3.087204 3.091848 3.091844 3.091858 3.091890]
num_senders=24, num_recvers= 8 , send_seed= 1 , recv_seed= 16 , outputs=[4.114370 4.114351 4.114376 4.112617 4.112661 4.112611 4.112819 4.112731 4.112731 4.110079 4.110067 4.110149 4.114931 4.115007 4.115007 4.106759 4.106822 4.106697 4.111912 4.111956 4.111943 4.108670 4.108683 4.108664]
num_senders=24, num_recvers= 12 , send_seed= 1 , recv_seed= 17 , outputs=[6.144572 6.144797 6.139288 6.139442 6.137954 6.138011 6.151077 6.151006 6.144600 6.144600 6.156819 6.156833 6.127698 6.127726 6.150908 6.151021 6.126174 6.126467 6.144417 6.144150 6.117225 6.117490 6.126551 6.126565]
num_senders=24, num_recvers= 24 , send_seed= 1 , recv_seed= 17 , outputs=[12.058337 12.095283 12.111491 12.073903 12.056928 12.065382 12.104282 12.097409 12.093376 12.128236 12.130593 12.126702 12.180407 12.191858 12.118326 12.065437 12.069722 12.062130 12.153055 12.124237 12.082544 12.058608 12.098499 12.104719]
num_senders=24, num_recvers= 4 , send_seed= 1 , recv_seed= 17 , outputs=[2.061688 2.061689 2.061689 2.061686 2.061686 2.061688 2.061358 2.061320 2.061362 2.061362 2.061358 2.061360 2.059195 2.059197 2.059197 2.059236 2.059198 2.059197 2.061317 2.061317 2.061309 2.061314 2.061319 2.061317]
num_senders=24, num_recvers= 6 , send_seed= 1 , recv_seed= 17 , outputs=[3.090481 3.090481 3.090488 3.090492 3.088895 3.088909 3.088927 3.088913 3.077806 3.077806 3.077802 3.077813 3.091730 3.091705 3.091705 3.091645 3.086675 3.086803 3.086778 3.086778 3.090940 3.090940 3.090972 3.090915]
